GENE        	noTX	1buff_12h	1buff_24h	1buff_48h	wnt3a_12h	wnt3a_24h	wnt3a_48h	wnt5a_12h	wnt5a_24h	wnt5a_48h
1/2-SBSRNA4 	2	1	2	1	2	1	1	1	1	1
A1BG        	0	1	0	1	1	0	1	0	1	1
A1BG-AS1    	0	0	0	0	0	0	0	0	0	0
A1CF        	0	0	0	0	0	0	0	0	0	0
A2LD1       	0	2	3	3	2	2	2	0	2	2
A2M         	6	6	6	7	5	6	5	9	8	8
A2ML1       	0	0	0	0	0	0	0	0	0	0
A2MP1       	0	0	0	0	0	0	0	0	0	0
A4GALT      	0	0	0	0	0	0	0	0	0	0
A4GNT       	0	0	0	0	0	0	0	0	0	0
AA06        	0	0	0	0	0	0	0	0	0	0
AAA1        	0	0	0	0	0	0	0	0	0	0
AAAS        	87	96	66	83	72	54	58	45	48	48
AACS        	7	7	8	8	7	9	12	11	9	10
AACSP1      	1	0	0	0	0	1	0	0	0	1
AADAC       	0	0	0	0	0	0	0	0	0	0
AADACL2     	0	0	0	0	0	0	0	0	0	0
AADACL3     	0	0	0	0	0	0	0	0	0	0
AADACL4     	0	0	0	0	0	0	0	0	0	0
AADAT       	15	12	16	14	15	16	18	18	16	13
AAGAB       	17	15	19	16	13	25	26	27	22	22
AAK1        	2	1	2	1	1	1	2	2	2	2
AAMP        	18	16	19	16	20	16	17	19	15	15
AANAT       	0	0	0	0	0	0	0	0	0	0
AARS        	7	6	6	6	6	8	9	9	7	6
AARS2       	2	3	3	2	2	3	3	3	2	3
AARSD1      	0	13	11	0	0	15	0	0	12	12
AASDH       	3	2	2	2	2	3	4	3	3	3
AASDHPPT    	27	24	29	27	28	37	40	43	35	35
AASS        	8	8	8	7	7	10	11	12	10	10
AATF        	26	23	29	23	23	31	32	37	28	27
AATK        	0	0	0	0	0	0	0	0	0	0
AATK-AS1    	0	0	0	0	0	0	0	0	0	0
ABAT        	14	13	18	14	9	13	13	20	16	14
ABCA1       	1	2	3	3	1	1	2	2	2	2
ABCA10      	0	0	0	0	0	0	0	0	0	0
ABCA11P     	0	0	0	0	0	0	4	0	0	0
ABCA12      	0	0	0	0	0	0	0	0	0	0
ABCA13      	0	0	0	0	0	0	0	0	0	0
ABCA17P     	0	0	0	0	0	0	0	0	0	0
ABCA2       	0	0	0	0	0	0	0	0	0	0
ABCA3       	1	1	1	1	1	1	1	1	1	1
ABCA4       	0	0	0	0	0	0	0	0	0	0
ABCA5       	2	3	2	2	1	1	2	3	2	2
ABCA6       	0	0	0	0	0	0	0	0	0	0
ABCA7       	0	0	0	0	0	0	0	0	0	0
ABCA8       	1	0	0	0	1	0	0	0	0	0
ABCA9       	0	0	0	0	0	0	0	0	0	0
ABCB1       	12	13	15	13	14	17	18	24	19	19
ABCB10      	2	1	2	1	2	2	2	2	2	2
ABCB11      	0	0	0	0	0	0	0	0	0	0
ABCB4       	0	0	0	0	0	0	0	0	0	0
ABCB5       	0	0	0	0	0	0	0	0	0	0
ABCB6       	3	2	2	2	3	3	3	3	2	2
ABCB7       	8	7	7	7	8	10	12	11	9	8
ABCB8       	2	2	2	2	2	3	3	2	2	2
ABCB9       	1	2	0	0	1	1	1	2	0	0
ABCC1       	2	2	3	3	2	2	2	2	2	0
ABCC10      	2	2	2	2	1	1	2	0	2	1
ABCC11      	0	0	0	0	0	0	0	0	0	0
ABCC12      	0	0	0	0	0	0	0	0	0	0
ABCC13      	0	0	0	0	0	0	0	0	0	0
ABCC2       	0	0	0	0	0	0	0	0	0	0
ABCC3       	0	0	0	0	0	0	0	0	0	0
ABCC4       	5	5	5	5	5	7	8	8	7	6
ABCC5       	5	5	5	6	5	7	7	7	6	6
ABCC6       	0	0	0	0	0	0	0	0	0	0
ABCC6P1     	0	0	0	0	0	0	0	0	0	0
ABCC6P2     	0	0	0	0	0	0	0	0	0	1
ABCC8       	0	0	0	0	0	0	0	0	0	0
ABCC9       	6	6	7	5	6	6	8	8	7	6
ABCD1       	1	1	1	1	1	1	1	1	1	1
ABCD2       	0	0	1	0	0	0	0	0	0	0
ABCD3       	12	11	12	10	11	16	15	17	14	13
ABCD4       	4	4	5	5	4	6	5	6	5	6
ABCE1       	0	0	0	0	0	0	0	0	0	0
ABCF1       	16	16	19	17	17	20	20	23	18	18
ABCF2       	8	8	9	8	8	12	13	12	11	10
ABCF3       	5	4	5	4	4	5	5	6	5	5
ABCG1       	0	0	0	0	0	0	0	0	0	0
ABCG2       	0	0	0	0	0	0	0	0	0	0
ABCG4       	0	0	0	0	0	0	0	0	0	0
ABCG5       	0	0	0	0	0	0	0	0	0	0
ABCG8       	0	0	0	0	0	0	0	0	0	0
ABHD1       	0	0	0	0	0	0	0	0	0	0
ABHD10      	39	36	46	38	29	46	48	63	48	48
ABHD11      	0	0	0	9	0	0	0	0	0	0
ABHD11-AS1  	0	0	0	2	1	0	1	0	1	0
ABHD12      	12	9	13	10	9	12	12	14	12	11
ABHD12B     	0	0	0	0	0	1	0	0	0	0
ABHD13      	6	5	6	6	6	8	7	8	7	7
ABHD14A     	12	9	12	11	9	13	14	14	11	12
ABHD14A-ACY1	1	0	4	2	4	0	0	0	0	0
ABHD14B     	0	1	1	1	0	1	1	1	0	0
ABHD15      	2	3	3	2	3	2	3	3	2	3
ABHD16A     	23	0	0	20	19	13	13	12	0	11
ABHD16B     	3	2	1	3	1	2	1	2	1	1
ABHD2       	4	4	4	3	4	4	4	4	4	3
ABHD3       	7	6	7	7	6	6	6	8	8	8
ABHD4       	3	3	4	3	2	2	2	2	2	2
ABHD5       	4	4	4	4	4	6	6	6	6	6
ABHD6       	2	2	2	1	2	2	1	2	2	2
ABHD8       	2	2	2	3	3	1	2	1	2	1
ABI1        	0	0	0	0	0	0	0	0	0	0
ABI2        	12	11	12	11	10	14	15	17	15	14
ABI3        	0	0	0	0	0	0	0	0	0	0
ABI3BP      	0	0	0	0	0	0	0	0	0	0
ABL1        	13	13	11	12	10	7	8	8	6	6
ABL2        	0	0	0	0	0	3	0	0	0	0
ABLIM1      	0	0	27	0	0	0	32	0	0	0
ABLIM2      	0	2	0	0	1	1	1	0	0	0
ABLIM3      	0	0	0	0	0	0	0	0	0	0
ABO         	0	0	0	0	0	0	0	0	0	0
ABP1        	0	0	0	0	0	0	0	0	0	0
ABR         	25	22	22	25	20	15	16	15	15	13
ABRA        	0	0	0	0	0	0	0	0	0	0
ABT1        	7	7	9	8	7	8	9	9	7	7
ABTB1       	0	0	0	0	0	0	0	1	0	0
ABTB2       	9	9	10	8	7	6	8	9	7	7
ACAA1       	0	0	6	0	8	8	8	0	0	8
ACAA2       	21	18	22	20	18	26	25	32	25	25
ACACA       	11	12	13	11	12	14	16	15	14	12
ACACB       	1	1	1	1	1	1	1	1	1	1
ACAD10      	0	0	0	0	0	0	0	0	0	0
ACAD11      	3	3	2	2	2	3	3	3	2	2
ACAD8       	3	3	5	3	4	4	4	4	3	4
ACAD9       	13	12	10	12	11	11	10	12	10	10
ACADL       	0	0	0	0	0	0	0	0	0	0
ACADM       	0	0	0	0	0	26	26	0	0	0
ACADS       	2	3	2	2	1	1	2	2	2	1
ACADSB      	2	2	2	3	3	3	3	3	3	3
ACADVL      	37	32	30	37	27	30	25	24	21	25
ACAN        	0	0	0	0	0	0	0	0	0	0
ACAP1       	1	1	1	1	1	0	1	1	1	1
ACAP2       	4	4	4	4	3	5	6	5	4	4
ACAP3       	1	2	2	2	2	1	1	1	1	2
ACAT1       	13	12	14	14	13	19	18	21	17	17
ACAT2       	273	278	259	258	222	222	181	242	243	250
ACBD3       	10	8	10	10	8	12	13	14	13	12
ACBD4       	0	0	0	1	0	0	0	0	0	0
ACBD5       	5	6	7	6	5	5	6	6	6	6
ACBD6       	16	15	18	17	16	22	23	25	20	20
ACBD7       	5	5	5	5	3	4	5	4	4	4
ACCN1       	0	0	0	0	0	0	0	0	0	0
ACCN2       	5	6	5	5	5	4	4	4	4	4
ACCN3       	1	0	0	0	0	0	0	0	0	0
ACCN4       	0	0	0	0	0	0	0	0	0	0
ACCN5       	0	0	0	0	0	0	0	0	0	0
ACCS        	0	0	0	0	0	0	0	0	0	0
ACCSL       	0	0	0	0	0	0	0	0	0	0
ACD         	0	0	21	0	0	0	21	19	0	0
ACE         	0	0	0	0	0	0	0	0	0	0
ACE2        	0	0	0	0	0	0	0	0	0	0
ACER1       	0	0	0	0	0	0	0	0	0	0
ACER2       	1	1	1	0	1	1	1	0	1	0
ACER3       	3	3	3	3	3	4	4	4	3	3
ACHE        	1	1	1	1	1	0	0	1	0	1
ACIN1       	17	15	15	13	0	15	15	0	13	0
ACLY        	81	81	80	81	70	82	73	82	79	80
ACMSD       	0	0	0	0	0	0	0	0	0	0
ACN9        	7	7	6	8	6	7	8	9	7	7
ACO1        	5	5	6	5	5	7	8	9	8	6
ACO2        	15	11	17	12	13	15	15	17	13	14
ACOT1       	0	0	0	0	0	0	0	0	0	0
ACOT11      	0	0	0	0	0	0	0	0	0	0
ACOT12      	0	0	0	0	0	0	0	0	0	0
ACOT13      	12	12	14	13	12	15	15	17	15	16
ACOT2       	1	1	1	1	2	1	1	1	1	1
ACOT4       	0	0	0	0	0	0	0	0	0	0
ACOT6       	0	0	0	0	0	0	0	0	0	0
ACOT7       	129	110	103	107	116	112	105	90	94	95
ACOT8       	0	0	0	0	0	0	0	0	0	0
ACOT9       	0	0	0	0	0	0	0	0	0	0
ACOX1       	6	5	6	5	5	5	5	5	6	5
ACOX2       	0	0	0	0	0	0	1	0	0	0
ACOX3       	3	0	3	0	3	0	4	4	3	3
ACOXL       	0	0	0	0	0	0	0	0	0	0
ACP1        	50	46	50	49	47	58	53	70	56	49
ACP2        	11	14	9	11	12	10	12	10	10	9
ACP5        	0	0	0	0	0	0	0	0	0	0
ACP6        	3	3	3	3	2	3	3	4	3	3
