gene,wnt3a,wnt5a,wnt3a_direction,wnt5a_direction,wnt3a_unadjusted,wnt5a_unadjusted,full_names,descriptions
TACC1,0.0,0.0,-,+,0.0,0.0,gastric cancer antigen Ga55 taxin-1,This locus may represent a breast cancer candidate gene. It is located close to FGFR1 on a region of chromosome 8 that is amplified in some breast cancers. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq Jun 2017]
ZNF385B,0.0,0.0,-,-,0.0,0.0,zinc finger protein 533,Enables p53 binding activity. Involved in intrinsic apoptotic signaling pathway by p53 class mediator. Located in nucleus. [provided by Alliance of Genome Resources Apr 2022]
KNDC1,0.0,0.0,-,-,0.0,0.0,KIND domain-containing protein 1 RasGEF domain family member 2 cerebral protein 9 kinase non-catalytic C-lobe domain (KIND) containing 1 protein very KIND ras-GEF domain-containing family member 2,The protein encoded by this gene is a Ras guanine nucleotide exchange factor that appears to negatively regulate dendritic growth in the brain. Knockdown of this gene in senescent umbilical vein endothelial cells partially reversed the senescence showing that this gene could potentially be targeted by anti-aging therapies. [provided by RefSeq Dec 2016]
SYT6,0.0,0.0,+,+,0.0,0.0,synaptotagmin VI,The protein encoded by this gene belongs to the synaptotagmin family. Synaptotagmins share a common domain structure that includes a transmembrane domain and a cytoplasmic region composed of 2 C2 domains and are involved in calcium-dependent exocytosis of synaptic vesicles. This protein has been shown to be a key component of the secretory machinery involved in acrosomal exocytosis. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq Dec 2011]
NCRNA00294,0.0,0.0,+,+,0.0,0.0,,
CLYBL,0.0,0.0,+,+,0.0,0.0,(3S)-malyl-CoA thioesterase beta-methylmalate synthase citrate lyase beta like citrate lyase subunit beta-like protein mitochondrial malate synthase,Enables (S)-citramalyl-CoA lyase activity; magnesium ion binding activity; and malate synthase activity. Involved in protein homotrimerization and regulation of cobalamin metabolic process. Predicted to be located in mitochondrion. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources Apr 2022]
LOC143666,0.0,0.0,-,-,0.0,0.0,,
PHLPP2,0.0,0.0,+,+,0.0,0.0,protein phosphatase Mg2+/Mn2+ dependent 3B,Predicted to enable protein serine/threonine phosphatase activity. Predicted to be involved in signal transduction. Located in several cellular components including intercellular bridge; mitotic spindle; and nucleoplasm. [provided by Alliance of Genome Resources Apr 2022]
TLN2,0.0,0.0,+,+,0.0,0.0,,
LOC550112,0.0,0.0,-,-,0.0,0.0,,
