"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000000068",865.393780002784,9.75721294123549,1.12622060484926,8.66367823428471,4.56781485011147e-18,3.831254705531e-17
"ENSDARG00000000935",152.183858221022,7.24967153350795,1.16666550741303,6.21401034610462,5.16491250786696e-10,1.45006539446809e-09
"ENSDARG00000001498",759.617198879849,9.56912876042507,1.09398964338534,8.74700123377172,2.19097305417723e-18,2.01389441007249e-17
"ENSDARG00000002298",68.4383145439765,6.09673232536068,1.234563563642,4.93837053426,7.87780514081198e-07,1.62646376907226e-06
"ENSDARG00000002362",209.934567418056,7.71379592732719,1.12248602263731,6.87206412530951,6.32794951629831e-12,2.1886876935238e-11
"ENSDARG00000002414",1033.0191592086,10.0126512965019,1.08367485097884,9.23953461451831,2.47571663460017e-20,3.19462665733983e-19
"ENSDARG00000002487",287.486232932318,8.16734906007233,1.32414137157973,6.16803404483051,6.9144259409752e-10,1.90929210139686e-09
"ENSDARG00000002546",532.431877504211,9.05645313995106,1.09524655405553,8.26887161289521,1.35232799901842e-16,9.16577866001373e-16
"ENSDARG00000002576",2.78760141082782,1.47902429014043,2.7826331298683,0.531519686970174,0.595058702566941,0.67560810392964
"ENSDARG00000002589",6.48402095097645,2.69688875245647,1.82480283515143,1.47790692808337,0.13943269169532,0.181316542882868
"ENSDARG00000002632",616.389634483167,9.26769879074898,1.1145881104268,8.31490907183659,9.18226435322268e-17,6.55457380958768e-16
"ENSDARG00000002916",938.749066233554,9.87459575736473,1.097771269442,8.99513043585482,2.35951868660551e-19,2.47380787298796e-18
"ENSDARG00000002956",88.5462121850081,6.46835868781841,1.15070054341879,5.62123545071127,1.89596662320216e-08,4.59275669374963e-08
"ENSDARG00000002968",48.5042645484042,5.6000396911018,1.59739269580779,3.50573763470849,0.00045534382531592,0.000756276501947976
"ENSDARG00000003008",49.2668090922,5.62254412923412,1.21469850561893,4.62875693287302,3.678672454821e-06,7.09307246317497e-06
"ENSDARG00000003085",84.6915292894374,6.40414577562257,1.160834900213,5.51684462144226,3.45140324968022e-08,8.24160704816877e-08
"ENSDARG00000003167",279.252919821942,8.12542855514084,1.13082601212295,7.18539233094451,6.70144686538703e-13,2.59923170328017e-12
