GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSDARG00000091150,12524.0926129031,13.6124184615898,1.09241195823431,12.4608837892913,1.22010918789693e-35,7.08883438168116e-33,MKI67
ENSDARG00000057484,10991.3409919564,13.4240797917168,1.12924437821239,11.8876658150534,1.37187126534399e-32,2.6568573505495196e-30,srsf2
ENSDARG00000074849,7542.32392961271,12.8807933976994,1.08302696455199,11.893326592314,1.28196835832034e-32,2.6568573505495196e-30,rac1
ENSDARG00000077375,5147.88343185016,12.3297636703505,1.08559273650852,11.357632798839,6.796125247755859e-30,9.87137192236539e-28,KIF22
ENSDARG00000023920,4542.24250955631,12.1491890180064,1.07999046017974,11.2493484581192,2.33309091459441e-29,2.7110516427586998e-27,llgl2
ENSDARG00000012234,4195.72868505926,12.0347056743564,1.08289505086401,11.1134552371943,1.07901884269432e-28,8.1956323394084e-27,psme3
ENSDARG00000007294,4454.04043832257,12.1208989411045,1.09104371980176,11.1094530137682,1.12848638064143e-28,8.1956323394084e-27,aco2
ENSDARG00000055930,4700.02912055064,12.1984539801638,1.09594911348386,11.130493040308,8.91410768300554e-29,8.1956323394084e-27,zc3h7b
ENSDARG00000006125,4699.98603452553,12.1984407546543,1.10661217282092,11.0232302284898,2.9526916712381897e-28,1.9061265122104298e-26,csnk1db
ENSDARG00000035910,5797.75296709951,12.5012781484627,1.13842359456471,10.9812184218149,4.705341543814479e-28,2.73380343695621e-26,ZNF281 (1 of 2)
ENSDARG00000071566,3597.79355010861,11.8128966883777,1.07902903943615,10.9477097062657,6.814895580289249e-28,3.59950393831641e-26,ppp1cab
ENSDARG00000045051,8638.38621585011,13.0765461044758,1.20223423213462,10.8768705423217,1.48576553045811e-27,6.64022902458588e-26,slc16a3
ENSDARG00000076177,3435.84169626649,11.7464478516179,1.07933985141371,10.8829928184645,1.38925359147749e-27,6.64022902458588e-26,polr2a
ENSDARG00000055630,4861.06134055863,12.2470556239236,1.12911961906674,10.8465528515449,2.07088899443453e-27,8.59418932690331e-26,foxh1
ENSDARG00000024488,4081.10973301625,11.9947457870126,1.11491874234196,10.7584035781987,5.40992110670753e-27,2.09544277533138e-25,top2a
ENSDARG00000076439,3556.80445083062,11.7963659434667,1.10548869729938,10.6707250578719,1.3953328622654001e-26,5.06680245610122e-25,ppp4cb
ENSDARG00000012981,3156.72907523536,11.6242147320134,1.09107229559511,10.6539362963782,1.67144472206348e-26,5.71240813834635e-25,osbpl7
ENSDARG00000054707,4214.08002917574,12.0410019971559,1.13186236302602,10.6382210333104,1.97871069607498e-26,6.386838413442021e-25,dhx8
ENSDARG00000060575,3928.72326295255,11.9398448334139,1.15201334253252,10.3643285998459,3.6027964912497503e-25,1.1016972428505801e-23,sec24c
ENSDARG00000045147,2320.59250511749,11.1802774930576,1.08875666046566,10.268848769454,9.73595038555925e-25,2.82829358700496e-23,TMEM184B (1 of 3)
ENSDARG00000074041,2988.86152839313,11.5453803442983,1.12597913404316,10.253636142298,1.1397355320578501e-24,3.0099379278436996e-23,abca5
ENSDARG00000029768,2906.70581534669,11.5051693498696,1.12176703826251,10.2562911526531,1.10884065674516e-24,3.0099379278436996e-23,WAPAL (1 of 2)
ENSDARG00000037618,2193.72844366991,11.0991692337313,1.08336565474996,10.2450813214057,1.24520124531203e-24,3.14548662402733e-23,DDIT4
ENSDARG00000092546,2287.71796317161,11.1596934879086,1.09615462375717,10.1807657843541,2.41652115501011e-24,5.84999496275365e-23,slc16a8
ENSDARG00000063247,2566.87860757109,11.3257993544764,1.11695738174336,10.1398670527599,3.67599523680798e-24,8.54301293034175e-23,PLEKHM1
ENSDARG00000031770,2105.16903550553,11.0397203644595,1.09525965870493,10.0795462306292,6.8039609922959e-24,1.47188624082536e-22,myst2
ENSDARG00000004160,1910.91339615954,10.9000466805796,1.08145835535678,10.0790258141596,6.84009096424868e-24,1.47188624082536e-22,reep3
ENSDARG00000032459,1851.05250353282,10.854130101271,1.08249087154349,10.0269945794503,1.15993558193532e-23,2.40686633251579e-22,med24
ENSDARG00000074229,2246.78637621586,11.1336472446828,1.11236996202964,10.0089427301401,1.39232503589214e-23,2.7894511925977e-22,PRR12 (2 of 2)
ENSDARG00000052518,1842.96426583459,10.8478123827588,1.08572610139729,9.99129740806452,1.6638950075243302e-23,3.1784271430472497e-22,STX4
ENSDARG00000090442,1884.44617599612,10.8799248736509,1.08914595310854,9.98940944746511,1.6958905582524102e-23,3.1784271430472497e-22,TRRAP
ENSDARG00000011496,1842.71366276794,10.8476161942642,1.09319662428517,9.9228409174401,3.31192724962008e-23,6.01321791259146e-22,ppm1bb
ENSDARG00000015179,1633.14479538588,10.6734369912534,1.08167620760362,9.86749723829061,5.75834170449097e-23,1.01381713039674e-21,mfsd8
ENSDARG00000018742,1712.27311965966,10.7416971248075,1.09325808461236,9.82539921359578,8.75265470278213e-23,1.49567423009306e-21,psme4b
ENSDARG00000040513,2397.12267598813,11.2270880274042,1.14799665777559,9.77972187580962,1.3758810283026e-22,2.28396250698231e-21,zgc:92313
ENSDARG00000071694,1414.31748554921,10.4658902968984,1.08864181734237,9.61371328032213,6.9978783882802e-22,1.1293798176641101e-20,ndc80
ENSDARG00000061201,1431.65816679907,10.4834713499357,1.09232797567318,9.59736597744364,8.201347803744139e-22,1.2774841205918601e-20,acsf2
ENSDARG00000078044,1592.27077700506,10.636869981991,1.10853289842806,9.59544817936794,8.35531782831168e-22,1.2774841205918601e-20,PPP2R2D
ENSDARG00000040510,1404.75211784298,10.4560998600126,1.09361711498804,9.56102434454585,1.16596877467022e-21,1.73699450790615e-20,ca15b
ENSDARG00000045167,1616.58102872429,10.6587301068857,1.1186855902967,9.52790506942959,1.60489085659257e-21,2.33110396920071e-20,dlgap5
ENSDARG00000029291,1234.0453918819,10.2691797467657,1.08296491996213,9.48246758272172,2.4833971067632902e-21,3.4353659976892204e-20,ipmkb
ENSDARG00000016443,1886.57071339809,10.8815504616491,1.14746079224568,9.48315666660207,2.46704687306792e-21,3.4353659976892204e-20,eif3c
ENSDARG00000087226,1398.05708176347,10.4492075508804,1.10566886023736,9.45057596054312,3.3697135572914802e-21,4.5530315739217404e-20,KBTBD2
ENSDARG00000052522,1300.52339913795,10.3448766412799,1.09535306973897,9.44433071588976,3.57682811318903e-21,4.72303894037006e-20,SNX11
ENSDARG00000005236,1606.35502550033,10.6495750672582,1.13050750750929,9.42017191086245,4.50350075242533e-21,5.79855195987308e-20,SRCAP
ENSDARG00000015050,1475.83293427735,10.5273137008225,1.11776842217828,9.41815271566461,4.5909361472317e-21,5.79855195987308e-20,calm3b
ENSDARG00000054903,1325.07347839951,10.3718566473442,1.10584315305547,9.37913900238613,6.65136411181206e-21,8.22221818928257e-20,mta3
ENSDARG00000033999,1146.19698269769,10.1626392882158,1.08851434133946,9.33624749097044,9.98088702567699e-21,1.20810320039965e-19,cyp26a1
ENSDARG00000054208,1325.1801881552,10.3719728246275,1.11374251197458,9.31272059126011,1.2459910650252901e-20,1.47738940567284e-19,phkg2
ENSDARG00000023299,1178.75855227238,10.2030525228169,1.10071577731155,9.26947058734581,1.87072131637019e-20,2.17377816962216e-19,nhp2l1
ENSDARG00000009214,1064.23070158673,10.0555952136565,1.08529002687279,9.26535300672686,1.94433092187493e-20,2.2150122855085e-19,tmem180
ENSDARG00000002414,1033.0191592086,10.0126512965019,1.08367485097884,9.23953461451831,2.4757166346001702e-20,2.7661372398128803e-19,glud1b
ENSDARG00000037358,1234.79355834514,10.2700541465148,1.11239185587458,9.23240681085383,2.6461790107165e-20,2.9008113306156403e-19,polr3e
ENSDARG00000018258,1027.90795485669,10.0054953672706,1.08550158521935,9.21739360265308,3.04409409913841e-20,3.2752197622211404e-19,ADK (2 of 2)
ENSDARG00000061123,1064.64913732365,10.0561623430541,1.09661045490889,9.17022293380346,4.7204180386602105e-20,4.9864779644756e-19,aldh18a1
ENSDARG00000074688,1186.61778616919,10.2126395972362,1.12157573880484,9.1056174308111,8.577713238964611e-20,8.899377485425791e-19,FBRS
ENSDARG00000027491,1237.71065087807,10.2734583687346,1.12870728013911,9.10196872963235,8.87089799147241e-20,9.04209075972889e-19,uros
ENSDARG00000053979,1383.49797891315,10.4341048210465,1.14781779505272,9.09038426309395,9.86896379531689e-20,9.8859792501364e-19,bc2
ENSDARG00000030583,1051.86335438911,10.0387315836368,1.10798764017431,9.06032812970511,1.3005871236057e-19,1.2807476590083199e-18,foxk2
ENSDARG00000077300,1001.30044393855,9.96765920982971,1.10117163055776,9.05186705979787,1.40544342606169e-19,1.36093771756974e-18,usp42
ENSDARG00000071395,1118.05720168777,10.1267782854373,1.11961698078554,9.04485950037321,1.49857761459094e-19,1.4273337607825199e-18,camk2g1
ENSDARG00000060868,1155.56810166661,10.1743865700337,1.12871047077344,9.01416867610146,1.98369228680816e-19,1.85891164296055e-18,MBTD1
ENSDARG00000075883,1613.18559178543,10.6556967101029,1.18318182163294,9.00596722775598,2.13773018142346e-19,1.97146227842386e-18,bub3
ENSDARG00000002916,938.749066233554,9.87459575736473,1.097771269442,8.99513043585482,2.35951868660551e-19,2.1420005576840597e-18,sec31b
ENSDARG00000006112,866.4680666,9.75900277008139,1.08592847501016,8.986782274026,2.54574273729248e-19,2.27550235441066e-18,MYOF (2 of 2)
ENSDARG00000012577,1680.13953102845,10.7143653345493,1.19577650996044,8.96017378272784,3.24167103289012e-19,2.8536528334987297e-18,waca
ENSDARG00000021372,1003.74755517093,9.971180758435,1.11441797018075,8.94743357092289,3.63842800020977e-19,3.1551144300326497e-18,tob1b
ENSDARG00000054154,1683.90908736136,10.7175985354456,1.19815789131291,8.9450635956681,3.7173564361736403e-19,3.17615307267189e-18,bms1l
ENSDARG00000061778,2255.67439022973,11.1393431123704,1.24838758518097,8.92298453188766,4.538881636345291e-19,3.82186989958929e-18,fmn2b
ENSDARG00000052879,996.105311197365,9.96015446611483,1.11929634850178,8.89858568684415,5.65628123171838e-19,4.69471342232626e-18,RGAG1
ENSDARG00000057531,1064.04005540566,10.05533674626,1.13633169343237,8.84894507860394,8.835043597446661e-19,7.229803281854239e-18,PGAP3
ENSDARG00000021806,771.763953597997,9.59201585197489,1.0887016624286,8.81050905220228,1.24578828262878e-18,1.00528193362128e-17,zfp36l2
ENSDARG00000001498,759.617198879849,9.56912876042507,1.09398964338534,8.74700123377172,2.19097305417723e-18,1.7437744444890003e-17,skap1
ENSDARG00000038576,746.078448752453,9.54318352491437,1.09158537243767,8.7424985400849,2.28010827905429e-18,1.79019312179803e-17,ube2d1
ENSDARG00000056623,751.873069988492,9.55434531875956,1.09509022924528,8.72471058877433,2.66862240207678e-18,2.06729282080881e-17,ptenb
ENSDARG00000045159,716.019114421721,9.48385429110971,1.08767038301546,8.71941944839634,2.79631842201122e-18,2.1377118463006902e-17,ZDHHC4
ENSDARG00000010673,703.945504532431,9.45931993769425,1.08672190284161,8.70445319355359,3.1910950027087e-18,2.40782622931656e-17,trim16
ENSDARG00000074161,698.951801532735,9.44904916313341,1.08692043458788,8.69341385298005,3.5170836458065e-18,2.6197764079661202e-17,TNRC6B (1 of 3)
ENSDARG00000052842,762.378432440219,9.57436349599574,1.10347038041095,8.6765931065862,4.07800904216806e-18,2.9991433588603104e-17,PPIF
ENSDARG00000000068,865.393780002784,9.75721294123549,1.12622060484926,8.66367823428471,4.56781485011147e-18,3.31737553489346e-17,slc9a3r1
ENSDARG00000054201,1231.55511426345,10.2662654770912,1.18523090528285,8.66182735476448,4.6426111818676e-18,3.3300704897099704e-17,rnf40
ENSDARG00000009217,1119.98874477848,10.1292685187897,1.17331759931843,8.63301507168537,5.9755558706084096e-18,4.23389995222376e-17,tom1l2
ENSDARG00000036482,964.767872217263,9.91403805455358,1.15066737088993,8.61590265385387,6.93926985817835e-18,4.8574889007248405e-17,hexim1
ENSDARG00000045075,674.377742731383,9.39741311190742,1.09157419345243,8.60904661201757,7.367069203120469e-18,5.0955561988249905e-17,tmem106a
ENSDARG00000019746,643.951526263458,9.33080828269324,1.08897602785758,8.56842395424478,1.04910935599397e-17,7.17097100979405e-17,rfng
ENSDARG00000056559,674.330989861271,9.39731309011286,1.1005558299954,8.53869729639447,1.35743461670058e-17,9.170575724453921e-17,CCZ1B
ENSDARG00000036863,640.394183232457,9.32281639353801,1.09246355533078,8.53375506033716,1.4167262115712e-17,9.46112561980306e-17,MYO1D
ENSDARG00000086908,683.576236336521,9.4169584341917,1.11022376897001,8.48203641228843,2.21286287510071e-17,1.46099242094717e-16,dock1
ENSDARG00000023591,595.281801283255,9.21742897932011,1.08863496830831,8.46696022785635,2.51880049437935e-17,1.64429560363416e-16,nrbf2
ENSDARG00000077409,790.507413817522,9.62663518281709,1.14577199481763,8.40187683619314,4.39398563204425e-17,2.83656183579745e-16,cby1
ENSDARG00000077177,596.718169288047,9.220905895514,1.09872577660885,8.39236331013706,4.7646582236763e-17,3.04205101973179e-16,map2k4b
