"brain.1" "brain.2" "fetal.brain.1" "fetal.brain.2" "fetal.liver.1" "fetal.liver.2" "liver.1" "liver.2"
"100_g_at" 660.404444614331 725.327558095032 237.30951108381 248.799241519543 207.320334850381 274.911857321929 595.496811457434 479.072324967169
"1000_at" 3032.38545426016 2920.4960926671 1507.19234408935 1299.40829187516 1226.67721116297 1117.05141578903 1203.70095807833 1439.09970931734
"1001_at" 220.58987634233 103.282990168311 241.083521603759 189.986596577914 303.473893448007 368.713743663493 335.61368353831 354.657902189129
"1002_f_at" 94.0502831414103 175.257623984165 60.8915293454641 185.08591877508 229.116757757507 286.711599934303 2072.55737880912 2177.6463846515
"1005_at" 912.64481795854 1373.9151601855 706.621843673694 721.939247065219 3941.10320272774 4837.19278354156 3377.94505456715 3526.6952964768
"1007_s_at" 3553.61017727047 4880.32559478693 3298.67850647401 2932.08705932839 795.149588278226 671.100329155997 749.754567701742 722.675353381403
"1008_f_at" 1747.18786309088 1640.82982718059 2826.72075319194 1542.64892060387 4100.76938937352 3037.1401513033 7530.70909574292 4199.62709855954
"1009_at" 7311.79355120378 6546.03359876269 2852.94485939578 2743.6070177884 4756.33939059728 5226.01208798148 4798.28531133496 5849.75656220783
"1011_s_at" 772.619200246078 689.92946869185 1364.32989608915 1256.35267592373 462.260290375019 421.359964025452 171.563600545327 326.287725110786
"1013_at" 86.1907907063278 12.4821655106686 186.691163651008 184.028639161034 92.7127971379581 150.312868810997 46.5374359394815 25.4605670144674
"1014_at" 687.48362037686 628.0184615645 464.621267556056 504.277852547006 614.886825527708 529.536992267862 108.519444234548 97.8125349619157
"1016_s_at" 30.2031491518057 23.7130951621226 94.147502057994 93.62345400506 51.6803233921893 85.2418148104721 108.012119554087 113.646869237454
"1017_at" 172.763821747525 173.951579383608 360.896580460972 424.284447408874 150.14864356766 125.323906075604 100.011111267479 28.0063010668859
"1018_at" 616.161817509854 666.541551421093 489.239428313574 531.06218247804 271.388874651522 177.78068663407 101.557579583373 147.493157867148
"1019_g_at" 1096.35324381599 1647.74604344715 1185.31959670094 973.806178973984 265.857475494823 442.694470751085 597.757453853471 845.145788451978
"102_at" 28.8492433925673 77.0939036430997 93.9263136329835 102.162081574901 41.405631996333 43.6955384434541 151.233275275167 43.2658266838939
"1020_s_at" 698.938711241235 790.678115639015 378.647820901962 399.433039172817 1216.83028020263 1260.57631187099 2262.25753606596 2241.7507491557
"1021_at" 76.3983848236561 96.4572551901647 172.101942609254 75.9174323824627 182.398635514667 156.708950473035 258.906483660839 255.811217094303
"1024_at" 283.977048139818 158.96921865029 372.976422811511 294.16081170193 426.522156832137 411.070024050852 718.787360851653 797.265689328657
"103_at" 186.550684952156 191.600381437918 51.8997139359716 32.8665536763668 47.9146952499454 42.8993093814031 87.3411505100297 72.0558089177883
"1030_s_at" 508.047071888567 403.998312678948 1396.26308804649 1351.45583613158 954.988469928046 1143.99990483851 372.556584051671 200.502613051523
"1031_at" 96.279186983677 75.6278234415352 560.786324451737 509.919951733278 137.194570957995 136.293564380465 39.6672781166423 55.8689695406975
"1034_at" 715.23843472613 1053.40369789808 715.124706424947 678.076613010012 943.96032004998 994.361576210735 1136.7736166885 979.20505965131
"1035_g_at" 428.70119199408 551.646778639052 555.479099334225 544.655056657927 860.624464325714 871.057323222488 641.742773341447 739.839680926052
"1038_s_at" 338.067167336381 186.214302905951 457.023271787719 516.057209367706 367.027410845945 487.532259724985 87.2241658674605 85.0746342446509
"1039_s_at" 410.321221103677 154.160015385699 605.650159303325 764.327169220645 319.318257304501 307.805854977168 99.5159382993538 101.00633827841
"104_at" 252.291781227624 226.908165637753 335.720031665893 301.045964028753 118.673798981311 46.7541334643105 69.9782753486594 104.209207292176
"1044_s_at" 115.167588998219 133.936517490384 342.008712351886 371.527929186279 111.692997394269 107.452811332317 57.1804358114873 74.5907858038968
"1045_s_at" 41.8586986913554 137.647124124158 167.012368200969 206.969614692873 115.693772487728 196.650187194326 164.273850810238 231.50522038292
"1046_at" 190.509973676027 154.423096221547 431.638706059933 561.125609911987 125.701196043288 126.63487953509 185.937896105451 148.842452762992
"1047_s_at" 318.309036702673 154.846926956551 257.323349104788 380.277593589356 3098.58033544046 3185.20507270984 2672.72935197615 3295.50649449445
